Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
25	NCT03830008	Scaling-up Psychological Interventions With Syrian Refugees in Switzerland	Recruiting	No Results Available	Distress|PTSD|Anxiety|Depression|Trauma|Functional Disabilities|Common Mental Health Problems	Behavioral: Problem Management Plus	All	18 Years and older   (Adult, Older Adult)	Not Applicable	80	Interventional	December 21, 2018	University Hospital Zurich, Zürich, ZH, Switzerland	https://ClinicalTrials.gov/show/NCT03830008
26	NCT03829748	Intermittent Suction Technique in the Diagnosis of Pancreatic Solid Lesions	Recruiting	No Results Available	Pancreatic Cancer|Pancreatic Neoplasms	Procedure: Intermittent aspiration	All	18 Years and older   (Adult, Older Adult)	Not Applicable	20	Interventional	January 16, 2019	Hospital Universitario de la Princesa, Madrid, Spain	https://ClinicalTrials.gov/show/NCT03829748
27	NCT03828721	Rx for Success: RCT of an App for Dialogic Reading Training	Recruiting	No Results Available	Literacy|Child Development|Parenting	Other: Rx for Success Smartphone Application|Other: Control - screen time reduction	All	6 Months to 21 Months   (Child)	Not Applicable	248	Interventional	March 20, 2018	Community Health Center@ Connecticut Children's Medical Center, Hartford, Connecticut, United States	https://ClinicalTrials.gov/show/NCT03828721
28	NCT03827915	Double Sequential External Defibrillation in Patients With Atrial Fibrillation Refractory to DC Cardioversion	Recruiting	No Results Available	Atrial Fibrillation|Defibrillators|Persistent Atrial Fibrillation	Device: Double sequential external defibrillation	All	Child, Adult, Older Adult	Not Applicable	100	Interventional	January 21, 2019	American University of Beirut Medical Center, Beirut, Lebanon	https://ClinicalTrials.gov/show/NCT03827915
29	NCT03825146	The Effects of AMPC in the Treatments of Refractory or Relapsed AML	Recruiting	No Results Available	Acute Myeloid Leukaemia Recurrent	Biological: Autologous Multi-lineage Potential Cells (AMPC)	All	20 Years to 60 Years   (Adult)	Phase 1	10	Interventional	January 4, 2019	Panacee Hospital Rama 2, Samut Sakhon, Thailand	https://ClinicalTrials.gov/show/NCT03825146
30	NCT03823456	Self-acupressure for Cancer-related Symptom Cluster of Insomnia, Depression, and Anxiety: a Feasibility Study	Recruiting	No Results Available	Insomnia|Anxiety|Depression	Other: Self-acupressure|Other: Sham Self-acupressure	All	20 Years to 84 Years   (Adult, Older Adult)	Not Applicable	114	Interventional	December 4, 2018	Vietnam National Cancer Institution, Hanoi, Ha Dong, Vietnam|Hanoi Oncology Hospital, Hanoi, Hai Ba Trung, Vietnam	https://ClinicalTrials.gov/show/NCT03823456
31	NCT03818867	Emergency Cerclage in Twin Pregnancies at Imminent Risk of Preterm Birth: an Open-Label Randomised Controlled Trial	Recruiting	No Results Available	Preterm Birth|Twin Pregnancy With Antenatal Problem|Twin to Twin Transfusion Syndrome	Procedure: Insertion of cervical cerclage	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	31	Interventional	May 15, 2017	St George's Hospital, London, United Kingdom	https://ClinicalTrials.gov/show/NCT03818867
32	NCT03817489	Mindfulness Meditation and Qigong for Colorectal Cancer Survivors	Recruiting	No Results Available	Colorectal Cancer	Behavioral: Baduanjin qigong|Behavioral: Mindfulness meditation	All	18 Years and older   (Adult, Older Adult)	Not Applicable	189	Interventional	January 4, 2017	Centre on Behavioral Health, The University of Hong Kong, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03817489
33	NCT03814577	A Comparison of the Effects of Desflurane and TIVA on Antioxidant System in Morbidly Obese Patients	Enrolling by invitation	No Results Available	Oxidative Stress|Morbid Obesity	Diagnostic Test: Total Antioxidant Status|Diagnostic Test: Total Oxidant Status|Device: Bispectral Index|Other: Invasive arterial monitorization	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	70	Interventional	January 24, 2019	Sedat Akbas, Malatya, Türkiye-Türkçe, Turkey	https://ClinicalTrials.gov/show/NCT03814577
34	NCT03814330	A Comparison of Sedation/Analgesia & LMA on Anxiety Level and Patient Satisfaction in In-Vitro Fertilization	Enrolling by invitation	No Results Available	Anesthesia|In-vitro Fertilization|Analgesia	Diagnostic Test: State-Trait Anxiety Inventory|Diagnostic Test: Quality of Recovery Score|Other: Sedation/Analgesia|Device: Laryngeal Mask Airway	Female	18 Years to 55 Years   (Adult)	Not Applicable	140	Interventional	January 24, 2019	Sedat Akbas, Malatya, Türkiye-Türkçe, Turkey	https://ClinicalTrials.gov/show/NCT03814330
35	NCT03813992	Clinical Trial Using Topically Applied Glyceryl Trinitrate (GTN) for the Treatment of Erectile Dysfunction	Recruiting	No Results Available	Erectile Dysfunction	Drug: MED2005	Male	18 Years to 70 Years   (Adult, Older Adult)	Phase 3	1000	Interventional	November 1, 2018	UMHAT Burgas EAD, Burgas, Bulgaria|Multiprofile Hospital for Active Treatment, Pleven, Bulgaria|University Multiprofile Hospital for Active Treatment, Plovdiv, Bulgaria|Urology Office Diagnostic-Consultative Center, Varna, Bulgaria|Medical Center Biomed, Vidin, Bulgaria|URAN MUDr.Jan Hiblbauer s.r.o, Hradec Králové, Czechia|ANDROGEOS, spol. s.r.o., Praha, Czechia|Urosante s.r.o., Praha, Czechia|LTD Gormedi, Gori, Georgia|LTD Gidmedi, Tbilisi, Georgia|LTD Multiprofile Clinic Consilium Medulla, Tbilisi, Georgia|LTDHealth House, Tbilisi, Georgia|Semmelweis Egyetem ÁOK Urologiai Klinika, Budapest, Hungary|Synexus Magyarorszag Kft, Budapest, Hungary|Civis Egeszseghaz, Debrecen, Hungary|Korona Prevent-Med Kft., Sopron, Hungary|Aranyklinika, Szeged, Hungary|Latgales Urology Center, Daugavpils, Latvia|V. Lietuviesa Private Practice, Riga, Latvia|Vidzemes Hospital, Valmiera, Latvia|Indywidualna Specjalistyczna Praktyka Lekarska Dr Adam Sipinski, Katowice, Poland|PROVITA Specjalistyczna Praktyka Ginekologiczno-Seksuologiczna, Lublin, Poland|Indywidualna Specjalistyczna Praktyka Lekarska, Szczecin, Poland|Medea Specjalistyczny Gabinet Lekarski, Warszawa, Poland|Gabinet Lekarski Ryszard Smolinski, Wrocław, Poland|State Budgetary Healthcare Institution of Sverdlovskaya region "Sverdlovskaya Regional Clinical Hospital No.1", Ekaterinburg, Russian Federation|Regional Budgetary Healthcare Institution "Ivanovskaya Regional Clinical Hospital", Ivanovo, Russian Federation|CJSC "Nasledniki", Moscow, Russian Federation|Federal State Budgetary Institution "National Medical Research Center of Obstetrics, Gynecology and Perinatology n.a. acad. V.I. Kulakov" of the Ministry of Healthcare of the Russian Federation, Moscow, Russian Federation|FSBEI HE "Russian National Research Medical University n.a. N.I. Pirogov" of the Ministry of Healthcare of the Russian Federation, Russian Gerontological Scientific and Research Center, Moscow, Russian Federation|LLC "Bessalar Clinic", Moscow, Russian Federation|LLC "Unimed-S", Moscow, Russian Federation|State Budgetary Institution "Hospital for War Veterans", Rostov-on-Don, Russian Federation|Federal State Budgetary Educational Institution of Higher Education "North-Western State Medical University n.a. I.I. Mechnikov" of the Ministry of Healthcare of the Russian Federation, Saint Petersburg, Russian Federation|LLC "Medical center PRIME ROSE", Saint Petersburg, Russian Federation|LLC "Sanavita", Saint Petersburg, Russian Federation|Llc <<Mart>>, Saint Petersburg, Russian Federation|Medicosanitary Department No.70, branch of Saint-Petersburg State Unitary Institution of road passenger transport, Saint Petersburg, Russian Federation|Research Center "Eco-Safety", Saint Petersburg, Russian Federation|Saint Petersburg State Budgetary Healthcare Institution "City Polyclinic No. 4", Saint Petersburg, Russian Federation|Clinical Hospital n.a. S.R. Mirotvortseva of the Federal State Budgetary Educational Institution of Higher Education "Saratovskiy State Medical University n.a. V.I. Razumovskiy" of the Ministry of Healthcare of the Russian Federation, Saratov, Russian Federation|Federal State Budgetary Educational Institution of Higher Education " Voronezhskiy State Medical University n.a. N.N. Burdenko" of the Ministry of Healthcare of the Russian Federation on the clinical base of Budgetary Healthcare Institution of Voronezhsk, Voronezh, Russian Federation|SBHI of Leningradskaya region "Vsevolozhskaya Clinical Interdistrict Hospital", Vsevolozhsk, Russian Federation|FSBEI HPE "Yaroslavskiy State Medical University" of The Ministry of Healthcare of the Russian Federation with clinical base in State Autonomous Institution of Yaroslavskaya region "Clinical Hospital No.9", Yaroslavl, Russian Federation|CUIMED, s.r.o Urologicka ambulancia, Bratislava, Slovakia|Urologicka ambulancia, Košice, Slovakia|Urologicka ambulancia Urobet s.r.o., Malacky, Slovakia|Urologicka ambulancia - Uromeda s.r.o., Martin, Slovakia|Urologicka ambulancia Uroexam s.r.o., Nitra, Slovakia|Privatna urologicka ambulancia s.r.o., Trenčín, Slovakia|Municipal Establishment "Cherkasy Regional Hospital of Cherkasy Regional Council", Urology department, Cherkasy, Ukraine|Regional Communal Institution "Chernivtsi Regional Clinical Hospital", Department of Urology, Higher State Educational Establishment of Ukraine "Bukovinsky State Medical University", Chair of Urology and Neurosurgery, Chernivtsi, Ukraine|Ivano-Frankivsk City Clinical Hospital №1, Surgery Department, State Higher Educational Institution "Ivano-Frankivsk National Medical University, Ivano-Frankivs'k, Ukraine|Regional Clinical Hospital, Polyclinic Department, Ivano-Frankivs'k, Ukraine|Kyiv Clinical Hospital on Railway Transport #1 of the branch "Health Center" of the public joint stock company "Ukrainian Railway", consulting and diagnostic center, Kyiv, Ukraine|LLC, "Medical Center "Consilium Medical"", Kyiv, Ukraine|State Institution "Institute of urology of the National Academy of Medical Science of Ukraine", laboratory of neurourology, Kyiv, Ukraine|State Institution "Institute of urology of the National Academy of Medical Science of Ukraine", policlinic department, Kyiv, Ukraine|State Institution "Institute of urology of the National Academy of Medical Sciences of Ukraine", Department of Sexual Pathology and Andrology, Kyiv, Ukraine|"Ambulatory of General Practice-Family Medicine",LLC, Medical Center, Odesa, Ukraine|Communal Institution "City Polyclinic, № 20 ", urological department, Odesa, Ukraine|Private Small-Scale Enterprise Medical Centre "Pulse" , Therapeutic Department, Vinnytsia, Ukraine|"Municipal Institution ""Zaporizhzhya Regional Clinical Hospital"" of the Zaporizhzhya Regional Council, urological department, State institution "Zaporizhzhya Medical Academy of Postgraduate Education of the Ministry of Health of Ukraine", Zaporizhzhya, Ukraine|Municipal Institution Central City Hospital №1 of Zhytomyr, consulting and medical department "Research center", Zhytomyr, Ukraine	https://ClinicalTrials.gov/show/NCT03813992
36	NCT03813381	CAlorie and Protein REstriction PROgram in Barrett's Esophagus Patients (CARE-PRO).	Enrolling by invitation	No Results Available	Barrett's Esophagus|Overweight and Obesity	Behavioral: Calorie and protein restriction diet	All	18 Years and older   (Adult, Older Adult)	Not Applicable	190	Interventional	November 25, 2015		https://ClinicalTrials.gov/show/NCT03813381
37	NCT03813069	Testing Insect Repellents Against Musca Sorbens, the Vector of Trachoma	Recruiting	No Results Available	Trachoma	Other: IR3535|Other: Permethrin lower dose|Other: Permethrin higher dose	All	3 Years to 65 Years   (Child, Adult, Older Adult)	Phase 2	103	Interventional	January 2019	Fred Hollows Foundation, Addis Ababa, Ethiopia|London School of Hygiene and Tropical Medicine, London, United Kingdom	https://ClinicalTrials.gov/show/NCT03813069
38	NCT03809286	The Effect of rTMS to the Prefrontal Cortex in Alcohol Use Disorder	Recruiting	No Results Available	Alcohol Use Disorder	Device: active rTMS|Behavioral: Inpatient admission|Device: sham rTMS	All	22 Years to 50 Years   (Adult)	Not Applicable	32	Interventional	January 2019	New York State Psychiatric Institute, New York, New York, United States	https://ClinicalTrials.gov/show/NCT03809286
39	NCT03807986	The Combination Therapy of Nanofat Grafting and PRP Compared With Microfat Grafting and PRP Synergy in Treating Striae Distensae	Recruiting	No Results Available	Treatments of Striae Distensae	Procedure: Nanofat grafting|Procedure: Microfat grafting|Procedure: Platelet-rich plasma (PRP) Injection	All	18 Years to 35 Years   (Adult)	Not Applicable	12	Interventional	February 1, 2019	The First Affiliated Hospital of Jinan University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03807986
40	NCT03801772	Effects of a Metronome on Functional Outcomes in Aquatic Therapy	Recruiting	No Results Available	Exercise Therapy	Device: Metronome	All	18 Years and older   (Adult, Older Adult)	Not Applicable	120	Interventional	January 21, 2019	Aultman Tusc Therapy, Canton, Ohio, United States	https://ClinicalTrials.gov/show/NCT03801772
41	NCT03799328	Low Dose Multi-OIT for Food Allergy (LoMo)	Recruiting	No Results Available	Food Allergy	Other: multi-OIT	All	6 Months to 15 Years   (Child)	Phase 2	18	Interventional	January 2019	Hospital for Sick Children, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03799328
42	NCT03798483	INDividualised EXercise for Kneecap Dislocations	Recruiting	No Results Available	Patella Dislocation|Patella Dislocation Recurrent	Other: Individualised exercise	All	16 Years and older   (Child, Adult, Older Adult)	Not Applicable	15	Interventional	January 24, 2019	John Radcliffe Hospital, Oxford, United Kingdom	https://ClinicalTrials.gov/show/NCT03798483
43	NCT03796923	Models of Care in the Transition From the Secondary to the Primary Sector Among the Frailest Elderly	Recruiting	No Results Available	Frail Elderly Syndrome|Transitional Care|Frailty|Readmission|Aging|Elderly	Other: Early follow-up visit after discharge|Other: Comprehensive geriatric assessment (CGA)|Other: Continued geriatric care|Other: Possible follow-up visit from GP	All	75 Years and older   (Older Adult)	Not Applicable	3057	Interventional	January 1, 2018	Aarhus University, Aarhus, Denmark	https://ClinicalTrials.gov/show/NCT03796923
44	NCT03796793	Developing Strategies for Effective Debridement in Patients for Venous Leg Ulcers	Recruiting	No Results Available	Venous Leg Ulcer	Procedure: Debridement	All	18 Years and older   (Adult, Older Adult)	Not Applicable	360	Interventional	January 2019	University of Miami, Miami, Florida, United States	https://ClinicalTrials.gov/show/NCT03796793
45	NCT03795675	CI Following VS Removal or Labyrinthectomy	Recruiting	No Results Available	Vestibular Schwannoma|Meniere Disease	Device: Cochlear Implant	All	18 Years to 70 Years   (Adult, Older Adult)	Not Applicable	15	Interventional	January 1, 2019	The Ohio State University, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT03795675
46	NCT03791697	Telehealth Postop Follow up RCT	Recruiting	No Results Available	Patient Satisfaction	Other: Telehealth 2 week postoperative visit	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	142	Interventional	July 9, 2018	University of Florida Health, Tampa, Florida, United States	https://ClinicalTrials.gov/show/NCT03791697
47	NCT03790449	Evaluation of a Mobile Preconception Lifestyle Programme in Couples Undergoing In Vitro Fertilisation	Recruiting	No Results Available	Infertility	Behavioral: PreLiFe-programme|Behavioral: Attention Control Programme	All	Child, Adult, Older Adult	Not Applicable	460	Interventional	January 1, 2019	University Hospital Antwerp, Antwerp, Belgium|Imelda Hospital Bonheiden, Bonheiden, Belgium|Academic Hospital Sint Jan Bruges-Ostend, Bruges, Belgium|Academic Hospital Diest, Diest, Belgium|University Hospitals Leuven, Leuven, Belgium	https://ClinicalTrials.gov/show/NCT03790449
