NCT03769298	"Drug: Envarsus XR	"
NCT03628001	"Procedure: ERCP	"
NCT03625544	"Procedure: Instrumented posterolateral spinal fusion	Device: MagnetOs™ Granules	Procedure: Autologous bone graft	"
NCT03623880	"Behavioral: Unified Protocol	Behavioral: Supportive Therapy	"
NCT03620942	"Drug: Phenylephrine	Drug: Ephedrine	Device: ADIVA System	Device: DIVA System	"
NCT03619720	"Other: Records	"
NCT03618108	"Drug: Doxycycline Capsule	Drug: Azithromycin Capsule	Drug: Rifabutin Oral Capsule	Drug: Placebo oral capsule	Drug: Placebo Oral Tablet	"
NCT03618017	"Behavioral: CCC website	Behavioral: Static care plan	"
NCT03615586	"Other: With Chaperone	Other: Without Chaperone	"
NCT03602768	"Behavioral: Goal Management Training	Behavioral: Memory & Aging Program	Behavioral: BrainHQ	"
NCT03602677	"Device: ICG fluorescence imaging	"
NCT03602014	"Drug: Northera	"
NCT03600987	"Behavioral: Simultaneous music and reading lyrics	Behavioral: Priming with music	Behavioral: Control	"
NCT03598114	"Behavioral: Program Sustainability Action Planning Model and Training Curricula	"
NCT03593889	"Behavioral: Collaborative stepped care and peer support programme	Other: Treatment as usual	"
NCT03593148	"Other: Lifestyle	"
NCT03591237	"Behavioral: Mindfulness-Based Cognitive Therapy	"
NCT03585920	"Behavioral: Expanded Corn Snack	"
NCT03585192	"Other: Skin Group	Other: Warmer Group	"
NCT03582046	"Device: Abdominal Perfusion Pressure (APP)	"
NCT03579303	"Other: Homoeopathic Remedies	"
NCT03578848	"Device: uAOBP	Device: Home BP	Device: CBP	"
NCT03578432	"Drug: Everolimus	Other: Laboratory Biomarker Analysis	Other: Survey Administration	"
NCT03577301	"Behavioral: Clinic-based Delivery	Behavioral: Remote Delivery	"
NCT03577106	"Device: Transcranial magnetic stimulation (TMS)	"
NCT03577054	"Behavioral: HBB Prompt	Behavioral: Low-Dose High Frequency training	"
NCT03575026	"Behavioral: Music-with-movement	Behavioral: Usual care	"
NCT03568812	"Drug: Rillus®	Other: Placebo	"
NCT03567031	"Procedure: EtCO2 modification	"
NCT03567018	"Device: MRI Scan	"
NCT03565354	"Drug: iron isomaltoside(Monofer®)	"
NCT03564665	"Dietary Supplement: 400mg Magnesium Glycinate BID	Other: Placebo	"
NCT03562546	"Other: Strength From Within	"
NCT03561961	"Radiation: Moderate Hypo-fractionation	Radiation: Extreme Hypo-fractionation	"
NCT03561103	"Behavioral: Client-Centered Representative Payee	"
NCT03559751	"Other: VLN cigarettes (A)	Other: Usual Brand Cigarettes (B)	Drug: Nicotine gum (C)	"
NCT03559179	"Other: Opioid Wizard	"
NCT03558763	"Device: Telemonitoring	Other: Normal Care	"
NCT03555500	"Other: Non fasting	"
NCT03553927	"Dietary Supplement: Low Energy Diet	Other: NHS advice on healthy eating	"
NCT03553004	"Drug: Niraparib Treatment	"
NCT03552523	"Device: Bionic Pancreas	Other: Usual Care	"
NCT03550885	"Other: High taurine and saturated fat diet	Other: Low in taurine and saturated fat diet	"
NCT03543098	"Procedure: Early Surgery	Procedure: Delayed Surgery	Procedure: Early Rehab	Procedure: Delayed Rehab	"
NCT03542383	"Device: High Definition Transcranial Direct Current Stimulation	Device: Sham High Definition Transcranial Direct Current Stimulation	"
NCT03541291	"Device: SMART-SYNC LM02	"
NCT03540732	"Other: Indirect Calorimetry directed feeding.	Procedure: Cycle Ergometry	"
NCT03540368	"Drug: Tranexamic acid injection	Other: Placebo	"
NCT03540134	"Device: Intracerebral Infusion of Autologous Cerebral Spinal Fluid	"
NCT03540069	"Behavioral: Care Group Cervical Cancer Screening Education Curriculum	"
NCT03538730	"Behavioral: Memory Reframing	"
NCT03538379	"Behavioral: Bleeding Control Basic (B-Con) Course	"
NCT03537612	"Drug: Clonidine	Other: Morphine	"
NCT03535675	"Drug: Muscadine Plus	Drug: Placebos	"
NCT03534362	"Device: Nasopore	Device: Propel	"
NCT03527927	"Drug: Any LABA/LAMA	"
NCT03527849	"Behavioral: Mindfulness-Based Stress Reduction	Behavioral: Health Enhancement Program	"
NCT03527121	"Other: ESP physiotherapy	Other: Usual care	"
NCT03526068	"Device: SafeZoneUVC	"
NCT03526042	"Drug: Losartan	Drug: Enalapril	"
NCT03524703	"Other: chewing gum	"
NCT03523806	"Behavioral: Solution-Focused Coaching in Pediatric Rehabilitation	"
NCT03523299	"Procedure: Cryoablation	"
NCT03521960	"Drug: Buspirone oral capsule	Drug: Placebo oral capsule	"
NCT03519750	"Drug: Melatonin 25 mg	"
NCT03519659	"Diagnostic Test: PET/CT scan with 13 mCi radiation dose	Diagnostic Test: PET/CT scan with 5 mCi radiation dose	Diagnostic Test: PET/CT scan with 2.5 mCi radiation dose	Diagnostic Test: PET/CT Scan with 6.5 mCi radiation dose	Diagnostic Test: PET/CT Scan with not yet determined radiation dose	"
NCT03518216	"Behavioral: ADAPT	"
NCT03517397	"Behavioral: Mobile Contingency Management	"
NCT03516877	"Behavioral: Enhanced Stress Resilience Training for Faculty Physicians	"
NCT03513822	"Drug: Ketamine 10 MG/ML	Drug: Placebos	Drug: Midazolam 1 MG/ML	"
NCT03512691	"Behavioral: Information on CVD Risk	Behavioral: Lottery Incentive	"
NCT03510195	"Other: MEDICORP HO PREPARATORY MODULE	"
NCT03508921	"Procedure: Periprocedural Antibiotics	Drug: Extended Antibiotics	Procedure: Injection of OnabotulinumtoxinA (BTX-A)	"
NCT03508908	"Diagnostic Test: HIV-1 RNA testing	"
NCT03507647	"Behavioral: Mindfulness Based Cognitive Therapy	Other: Usual Care	"
NCT03503721	"Procedure: BipolEP	Procedure: bipolarTURP	"
NCT03503162	"Device: Pure-Vu System	"
NCT03502655	"Other: Experimental: Intervention message (first phase)	Other: Placebo Comparator: Control message (first phase)	Other: Experimental: Intervention message (second phase)	Other: Placebo Comparator: Control message (second phase)	"
NCT03502252	"Behavioral: Semillas de Apego	"
NCT03501316	"Device: Hand Instrumentation Treatment	Device: Ultrasonic Instrumentation Treatment	"
NCT03500419	"Device: RestoreX	"
NCT03500406	"Device: RestoreX	Other: Control	"
NCT03500367	"Drug: rapamycin	"
NCT03496948	"Behavioral: TeGeCoach	"
NCT03495791	"Other: YouTube Video	"
NCT03495752	"Other: Bruce Fatigue Protocol	"
NCT03495661	"Procedure: Decompression	"
NCT03495518	"Other: Symptom feedback to Health Care Provider	Other: Standard of care	"
NCT03495089	"Diagnostic Test: dermal electrochemical conductance (DEC)	Diagnostic Test: Monofilament testing	"
NCT03494816	"Drug: Axitinib Oral Tablet	"
NCT03494335	"Other: Online surveys	"
NCT03494205	"Drug: Urtica comp. gel	Drug: institutional standard skin care ""Excipial-Hydrolotion""	"
NCT03492476	"Device: Circaid	Device: Short-stretching Bandage (Reference treatment)	"
NCT03491059	"Drug: C-11 labeled nicotine	Radiation: PET/CT imaging	"
NCT03491046	"Device: PET scan	Device: MRI scan	"
NCT03490812	"Diagnostic Test: PET scan	Other: Retrospective data analysis	"
NCT03490656	"Diagnostic Test: MRI Scan - in addition to standard of care	Diagnostic Test: MRI Scan - not in addition to standard of care	"
NCT03489395	"Drug: Edoxaban	"
NCT03488511	"Other: FoodforCare at home	"
NCT03487718	"Biological: Leukocyte platelet rich fibrin plug + d-PTFE membrane	Biological: d-PTFE membrane	"
NCT03486444	"Diagnostic Test: Phillips Lumify Diagnostic Ultrasound System	Other: Surveys	"
NCT03486106	"Other: Music	Other: Headphones	Drug: Propofol	"
NCT03484533	"Behavioral: HIV self-test kit	Behavioral: Standard of Care	"
NCT03484338	"Behavioral: Accelerated Resolution Therapy	"
NCT03484273	"Device: LifeWrap Compression Garment	"
NCT03483935	"Other: Microwave treatment	"
NCT03482908	"Behavioral: Early healthy lifestyles	Behavioral: Responsive parenting curriculum	Behavioral: Data sharing/coordination	"
NCT03481023	"Device: EnsoETM	Procedure: Conventional Care	"
NCT03479697	"Device: HIRREM	Other: Continued Current Care	"
NCT03478163	"Drug: CeFAZolin 1000 MG	Drug: Clindamycin 900 MG in 6 ML Injection	"
NCT03478137	"Behavioral: CPAP intervention	"
NCT03477500	"Drug: Cyclophosphamide and ATG	Drug: Alemtuzumab	"
NCT03477045	"Dietary Supplement: Single dose fish oil	Dietary Supplement: Repeated dose fish oil	Dietary Supplement: single dose Camelina seed oil	Dietary Supplement: repeated dose camelina seed oil	"
NCT03473899	"Device: rESWT	Device: Sham-rESWT	"
NCT03473665	"Drug: Indomethacin	Drug: Diclofenac	Drug: Meloxicam	Drug: Celecoxib	"
NCT03472820	"Other: Diet Recommendations	Other: Lifestyle Recommendations	Other: Exercise Recommendations	Other: Stress Management Recommendations	Other: PhytoGanix (tropical fruit flavor)	Other: UltraFlora Intensive Care	"
NCT03472430	"Device: Transcutaneous electrical nerve stimulation	Device: TENS machine with electrodes not emitting any impulses.	"
NCT03472378	"Drug: DFN-15	Other: Placebo	"
NCT03471117	"Drug: Pioglitazone	Other: Placebo	"
NCT03470389	"Procedure: HVPG measurement	"
NCT03469609	"Other: mucous fistula refeeding	"
NCT03468621	"Procedure: Wound closure	"
NCT03466164	"Behavioral: Mindfulness Based Stress Reduction Program	"
NCT03465982	"Procedure: Surgery after 8 weeks from chemoradiation treatment	Procedure: Surgery after 12 weeks from chemoradiation treatment	"
NCT03464773	"Other: PIUO Pathway	"
NCT03464266	"Combination Product: FTC/TDF and DMPA	Drug: FTC/TDF	Drug: DMPA	Other: Neither DMPA nor FTC/TDF	"
NCT03462966	"Drug: Rifaximin	"
NCT03462823	"Device: Osteoconductive scaffold-hamstring tendon composite repair	Device: Hamstring tendon-only repair	"
NCT03459014	"Other: Stimulus rich VE	Other: Stimulus poor VE	"
NCT03457519	"Device: Children's Automated Respiration Monitor (ChARM)	"
NCT03457506	"Diagnostic Test: Digital PET/CT scan	"
NCT03456895	"Other: Light perception	Other: Sound perception	Other: Smell perception	Other: Vibration perception	Other: Voice activation	"
NCT03456128	"Other: CAPABLE	"
NCT03455426	"Drug: letrozole	"
NCT03454282	"Other: FMD	"
NCT03454087	"Other: Enteral Dextrose Infusion	Other: Free Water Infusion	"
NCT03453190	"Combination Product: Apremilast and Clobetasol	"
NCT03451266	"Drug: Vitamin C	Drug: placebo	"
NCT03450655	"Other: 10-week aerobic exercise program	"
NCT03450564	"Behavioral: Women Education	Behavioral: Male Involvement	Other: Control group	"
NCT03449693	"Dietary Supplement: Magnesium Oxide Supplement	"
NCT03448289	"Behavioral: RLPT	"
NCT03447119	"Behavioral: Living Well with a Disability	"
NCT03444103	"Drug: Clazakizumab / Clazakizumab	Drug: Placebo / Clazakizumab	"
NCT03443388	"Device: Hövding inflatable helmet	"
NCT03443258	"Other: Needs assesment tool integrated in nursing consultation.	"
NCT03441867	"Behavioral: Cognitive Behavioral Therapy for Seizures	Other: Standard Medical Care	"
NCT03438708	"Drug: Axitinib Oral Tablet [Inlyta]	"
NCT03435497	"Behavioral: Game Changers	"
NCT03435172	"Device: Device-ADRCs intravenously infusion	"
NCT03434392	"Diagnostic Test: Quantitative Sensory Test1	Diagnostic Test: Quantitative Sensory Test 2	Diagnostic Test: Quantitatie Sensory Test 3	"
NCT03433222	"Device: HF-LED-RL Phototherapy	Device: Mock Therapy	"
NCT03432832	"Behavioral: EASE	Behavioral: Supportive Therapy	"
NCT03432819	"Behavioral: Siempre Seguiré	"
NCT03429010	"Procedure: New ""guideline"" anesthesia strategy team	"
NCT03428477	"Drug: Icosapent Ethyl	Other: Placebo	"
NCT03426436	"Diagnostic Test: Two consecutive 15-lead ECGs	"
NCT03425890	"Behavioral: SURE program	"
NCT03423394	"Behavioral: Motivational Enhancement Therapy	Behavioral: Treatment as Usual	"
NCT03423303	"Diagnostic Test: Prostate cancer screening	"
NCT03422536	"Biological: Cetuximab	Drug: Ficlatuzumab	"
NCT03421262	"Diagnostic Test: IADPSG Criteria	Diagnostic Test: NDDG Criteria	"
NCT03420404	"Other: TCM physician involved collaborative care model (TCMCMC)	"
NCT03419715	"Drug: Bimatoprost Topical Solution	Drug: Control	"
NCT03418870	"Behavioral: Family Integrated Care	"
NCT03418324	"Drug: TRC105	Drug: Abiraterone	Drug: Enzalutamide	"
NCT03415880	"Behavioral: Interactive workshops LiPAT intervention group	Device: Wrist-worn feedback physical activity monitor	Device: Smartphone application LiPAT	Behavioral: Telephone Coaching	Behavioral: Workshops control group LiPAT	"
NCT03415841	"Device: mHealth remote monitoring devices	"
NCT03412149	"Procedure: Mini Gastric Bypass	Procedure: Roux en Y Gastric Bypass	"
NCT03412084	"Behavioral: Stand up and move more	"
NCT03410511	"Other: Nicotine free intake	Other: Nicotine intake	Other: Cessation intake	"
NCT03408873	"Drug: Abilify Maintena	Behavioral: Customized Adherence Enhancement (CAE)	"
NCT03408574	"Drug: Nicotine patch, oral mecamylamine, placebo	"
NCT03406520	"Device: Chlorhexidine-impregnated disk	"
NCT03405090	"Drug: Fentanyl Citrate	Drug: Combivent	"
NCT03404011	"Other: Propylene glycol and Glycerol intake	Device: Mimicking intake	"
NCT03401047	"Drug: Estradiol	"
NCT03399318	"Drug: Acetaminophen	Drug: Ibuprofen	Drug: placebo for acetaminophen	Drug: placebo for ibuprofen	"
NCT03397030	"Other: Home-Based Exercise Program	"
NCT03396094	"Device: High-flow nasal cannulae (HFNC) oxygenation	Device: Non-rebreather mask and standard nasal cannula	"
NCT03394599	"Device: TheraTrainer + Motiview	Device: TheraTrainer Only	"
NCT03392415	"Procedure: CTO PCI	"
NCT03386227	"Other: Withholding antibiotic prophylaxis	"
NCT03384706	"Behavioral: Cognitive Processing Therapy (CPT)	Behavioral: Accelerated Resolution Therapy (ART)	"
NCT03382171	"Other: FoodforCare at home	"
NCT03382093	"Behavioral: Personalized Feedback Intervention	Behavioral: Smoking Information Control	"
NCT03381027	"Procedure: Baby Massage	"
NCT03380884	"Device: Low-magnitude high-frequency vibration (LMHFV)	"
NCT03380013	"Procedure: Osteopathic Manipulative Treatment (OMT)	"
NCT03379818	"Behavioral: Shape training intervention	Behavioral: Specific word training	"
NCT03375879	"Device: Bandage contact lens	"
NCT03375229	"Other: Dry Needling	Device: Low-Level Laser Therapy	"
NCT03372174	"Device: Maintaining mechanical ventilation during surgery	Device: Absence of mechanical ventilation during surgery	"
NCT03371836	"Drug: Clobazam	"
NCT03369600	"Device: Supersonic Imagine Aixplorer SWE Ultrasound Imaging	"
NCT03367364	"Behavioral: Patient education bundle (PEB),	Behavioral: Nurse feedback and coaching (NFC)	"
NCT03365518	"Behavioral: Cognitive Behavioural Therapy (CBT)	Behavioral: Mindfulness-Based Therapy	"
NCT03364660	"Device: Epidural Stimulation	Biological: Stand Training	"
NCT03364114	"Device: EndoRotor Mucosal Resection System	Device: Continued Ablation	"
NCT03362983	"Other: CareHND	"
NCT03359863	"Drug: Pirfenidone	"
NCT03357042	"Other: Aerobic exercise and balance retraining	Other: Standard of care	"
NCT03356652	"Procedure: Noninvasive electrical dyssynchrony study	"
NCT03356210	"Behavioral: Neurofeedback	"
NCT03356106	"Device: Continuous positive airway pressure (CPAP)	"
NCT03355456	"Procedure: Radiofrequency ablation	"
NCT03354325	"Behavioral: Scheduled PCP follow-up	Behavioral: As needed PCP follow-up	"
NCT03354286	"Behavioral: Developmental & Technological Demands	Behavioral: Distress Reduction	Behavioral: Nutrition, Set Point, & C:I Ratio	Behavioral: Hypoglycemia management	Behavioral: Minimal Intervention	"
NCT03353298	"Drug: Allopurinol 300 mg	Drug: Placebo Oral Tablet	"
NCT03352947	"Drug: Dabrafenib	Drug: Trametinib	"
NCT03350737	"Other: Physical rehabilitation	Drug: Heparin	Other: Placebo	"
NCT03348761	"Device: rTMS group	"
NCT03346668	"Drug: Topical gabapentin	"
NCT03342976	"Other: My-AHA platform	"
NCT03341975	"Behavioral: SexHealth	"
NCT03341520	"Drug: Obinutuzumab Injection [Gazyva]	Radiation: Low dose radiation Therapy (LDRT)	"
NCT03340922	"Device: Automatic annotation of LAT (WF-method)	Device: Manual annotation of LAT (M-method)	"
NCT03337607	"Device: rESWT	Drug: Celecoxib	Drug: Eperisone	"
NCT03337360	"Dietary Supplement: Impryl	Other: Placebo	"
NCT03336879	"Device: Repetitive Transcranial Magnetic Stimulation	"
NCT03335475	"Behavioral: Physical Activity Lifestyle Intervention	Behavioral: Physical Activity Monitoring	"
NCT03335358	"Behavioral: Dyadic (couples-based) positive psychology intervention	"
NCT03335319	"Other: Periodized Exercise Training Regime	Other: Non Periodized Exercise Training Regime	"
NCT03335124	"Drug: Vitamin C	Drug: Hydrocortisone	Drug: Thiamine	Drug: 0.9% Sodium Chloride Injection	"
NCT03334643	"Dietary Supplement: Fiber mix	"
NCT03333460	"Device: Repetitive Transcranial Magnetic Stimulation	"
NCT03333174	"Diagnostic Test: Cardiorespiratory monitoring	"
NCT03333161	"Diagnostic Test: Cardiorespiratory monitoring	"
NCT03326232	"Device: Continuous glucose monitoring	"
NCT03324451	"Behavioral: TTM Intervention for Insulin Initiation	Behavioral: Usual care	"
NCT03323359	"Device: Hemopatch	Procedure: Common Surgical Techniques	"
NCT03322774	"Behavioral: digital Cognitive Behavioral Therapy for Insomnia	Behavioral: face-to-face Cognitive Behavioral Therapy for Insomnia	Behavioral: Sleep Hygiene Education	"
NCT03322072	"Device: Real-Time Position Transponder Beacons	"
NCT03320057	"Drug: Mifepristone	"
NCT03318874	"Device: Blephasteam	Device: THERA°PEARL Eye Mask	Drug: Hylo-comod	"
NCT03314792	"Drug: Tapentadol	Drug: Oxycodone	"
NCT03313492	"Behavioral: UV4.me2	Behavioral: UV4.me	Behavioral: E-Pamphlet	"
NCT03308851	"Procedure: Piezocorticision	Procedure: Osteoperforation	"
NCT03306992	"Behavioral: Personalized Exercise Program	"
NCT03304626	"Drug: Budesonide 3Mg Capsule	"
NCT03304301	"Behavioral: sunlight exposure	"
NCT03302858	"Device: BARRX™ Anorectal Wand	"
NCT03302299	"Drug: Isoniazid 300 Mg ORAL TABLET	Drug: Pyridoxine 25 Mg Oral Tablet	"
NCT03301311	"Other: Specific Carbohydrate Diet (SCD)	Other: Modified Specific Carbohydrate Diet (MSCD)	"
NCT03299816	"Behavioral: Coaching DASH group (C-DASH)	Behavioral: Self-Shopping DASH group (S-DASH)	"
NCT03299296	"Drug: Rivaroxaban 10 Milligrams	Drug: Enoxaparin 40 Milligrams/0.4 Milliliters Prefilled Syringe	"
NCT03297658	"Device: electro-acupuncture (EA)	Device: sham	"
NCT03297346	"Other: Cardiac imaging and circulating biomarkers	"
NCT03295708	"Dietary Supplement: fish oil capsule	Dietary Supplement: soybean oil capsule	"
NCT03295422	"Procedure: RF ablation PVI alone	Procedure: RF ablation PVI plus LPAW	"
NCT03294395	"Drug: Ertapenem 1000 MG	Drug: Fosfomycin Oral Suspension	Drug: Gentamicin Sulfate, Injectable	Drug: Ceftriaxone	"
NCT03291951	"Behavioral: Resistance training	"
NCT03290833	"Device: Robotic	Other: Conventional therapy	"
NCT03290560	"Drug: Recombinant human tissue kallikrein	Other: Placebo	"
