NCT03769298	"Kidney Pancreas Transplantation	"
NCT03478137	"Hiv	Obstructive Sleep Apnea	Cognitive Change	"
NCT03477500	"Multiple Sclerosis	"
NCT03477045	"Healthy	"
NCT03473899	"Athletic Injuries	"
NCT03473665	"Ankylosing Spondylitis	Axial Spondyloarthritis	"
NCT03472820	"Lifestyle	Diet	Healthy	"
NCT03472430	"Transcutaneous Electric Nerve Stimulation	Oocyte Retrieval	"
NCT03472378	"Migraine With Aura	Migraine Without Aura	Allodynia	"
NCT03471117	"Chronic Kidney Diseases	"
NCT03470389	"Liver Cirrhosis	Hypertension, Portal	"
NCT03469609	"Enterostomy	"
NCT03468621	"Surgical Wound Infection	"
NCT03466164	"Cognitive Change	"
NCT03465982	"Rectal Cancer	"
NCT03464773	"Pain	Neuropathic Pain	Irritability	"
NCT03464266	"Bone Demineralization	Hypoestrogenism	Subclinical Kidney Injury	Bone Microarchitecture	"
NCT03462966	"Visceral Hypersensitivity	Irritable Bowel Syndrome	"
NCT03462823	"ACL - Anterior Cruciate Ligament Rupture	ACL	ACL Injury	"
NCT03459014	"Healthy	"
NCT03457519	"Acute Respiratory Infection	"
NCT03457506	"Breast Cancer	Lung Cancer	Esophageal Cancer	Miscellaneous Neoplasm	"
NCT03456895	"Healthcare Facility Environment - Imaging	"
NCT03456128	"Disability Physical	"
NCT03455426	"Infertility	Intrauterine Insemination	"
NCT03454282	"Breast Cancer	Melanoma, Malignant	"
NCT03454087	"Sepsis	"
NCT03453190	"Psoriasis	"
NCT03451266	"Preeclampsia Severe	Preeclampsia Postpartum	"
NCT03450655	"Visceral Obesity	"
NCT03450564	"Family Size	"
NCT03449693	"Febrile Neutropenia	"
NCT03448289	"Postpartum Period	Contraception Behavior	Women's Health	Primary Health Care	"
NCT03447119	"Health Education	Community Health Services	Health Services for Persons With Disabilities	Developmental Disabilities	"
NCT03444103	"Antibody-mediated Rejection	"
NCT03443388	"Drug Resistant Epilepsy	Drop Seizures	Generalized Tonic Clonic Seizure	Complex Partial Seizure	Fall Due to Seizure	"
NCT03443258	"Head and Neck Neoplasms	"
NCT03441867	"Seizure Disorder	Seizure Disorder, Post Traumatic	Traumatic Brain Injury	Non-Epileptic Seizure	Conversion Disorder	Magnetic Resonance Imaging	"
NCT03438708	"Clear Cell Renal Cell Carcinoma	"
NCT03435497	"HIV	"
NCT03435172	"Thermal Burn	"
NCT03434392	"Chronic Pancreatitis	Chronic Pain	"
NCT03433222	"Skin Diseases	Keloid	Scar	Fibrosis	Hypertrophic Skin	"
NCT03432832	"Autism Spectrum Disorder	"
NCT03432819	"HIV	"
NCT03429010	"Anesthesia	Hip Fracture Surgery	Nursing	"
NCT03428477	"Liver Metastasis	Colon Cancer	"
NCT03426436	"Chest Pain	"
NCT03425890	"Stroke	"
NCT03423394	"Posttraumatic Stress Disorder	"
NCT03423303	"Prostate Cancer	"
NCT03422536	"Head and Neck Basaloid Carcinoma	Recurrent Head and Neck Squamous Cell Carcinoma	Recurrent Oropharyngeal Squamous Cell Carcinoma	Squamous Cell Carcinoma of Unknown Primary Origin	Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity	Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity	Stage IV Nasopharyngeal Keratinizing Squamous Cell Carcinoma	Stage IV Oropharyngeal Squamous Cell Carcinoma	Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma	Stage IVA Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma	Stage IVA Nasopharyngeal Keratinizing Squamous Cell Carcinoma	Stage IVA Oropharyngeal Squamous Cell Carcinoma	Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma	Stage IVB Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma	Stage IVB Nasopharyngeal Keratinizing Squamous Cell Carcinoma	Stage IVB Oropharyngeal Squamous Cell Carcinoma	Stage IVC Lip and Oral Cavity Squamous Cell Carcinoma	Stage IVC Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma	Stage IVC Nasopharyngeal Keratinizing Squamous Cell Carcinoma	Stage IVC Oropharyngeal Squamous Cell Carcinoma	Head and Neck Cancer	Oropharyngeal Cancer	HNSCC	Stage IV Lip and Oral Cavity Squamous Cell Carcinoma	"
NCT03421262	"Gestational Diabetes	"
NCT03420404	"Axial Spondyloarthritis	"
NCT03419715	"Migraine Disorders	Headache Disorders	"
NCT03418870	"Premature Birth of Newborn	"
NCT03418324	"Prostate Cancer	"
NCT03415880	"Diabetes Mellitus	Physical Exercise	Light Intensity Physical Activity	Arterial Stiffness	Aortic Stiffness	Pulse Wave Velocity	Type2 Diabetes	Sedentary Lifestyle	Artery Disease	Physical Activity	"
NCT03415841	"Post MI	"
NCT03412149	"Obesity (Disorder)	"
NCT03412084	"Sedentary Lifestyle	"
NCT03410511	"Lung Injury	"
NCT03408873	"Bipolar Disorder	Medication Adherence	Medication Non Adherence	"
NCT03408574	"Healthy Aging	"
NCT03406520	"Peritoneal Dialysis Catheter Exit Site Infection	"
NCT03405090	"Chronic Obstructive Pulmonary Disease	"
NCT03404011	"Metabolic Complication	"
NCT03401047	"Polycystic Ovary Syndrome	"
NCT03399318	"Malaria	Seizures	Coma	Parasitemia	Hyperpyrexia	"
NCT03397030	"Prostatic Neoplasm	"
NCT03396094	"Intubation	Oxygen Inhalation Therapy	"
NCT03394599	"Physical Activity	Aging	Geriatrics	"
NCT03392415	"Chronic Total Occlusion of Coronary Artery	Heart Failure	Angina Pectoris	"
NCT03386227	"Assisted Reproductive Technology	Antibiotic Prophylaxis	Embryo Transfer	"
NCT03384706	"Posttraumatic Stress Disorder	"
NCT03382171	"Advanced Cancer	Malnutrition	"
NCT03382093	"Anxiety Disorders	Anxiety	Tobacco Dependence	Smoking, Cigarette	Smoking, Tobacco	"
NCT03381027	"Sleep	Neurodevelopmental Disorders	"
NCT03380884	"Distal Radius Fracture	Fall Patients	"
NCT03380013	"Neonatal Encephalopathy	Feeding; Difficult, Newborn	"
NCT03379818	"Language Delay	Language Development Disorders	"
NCT03375879	"Ptosis	Blepharoptosis	"
NCT03375229	"Myofascial Pain	Trigger Points	"
NCT03372174	"Cardiopulmonary Bypass	"
NCT03371836	"Epilepsy	Anxiety	"
NCT03369600	"Leiomyoma	"
NCT03367364	"Venous Thrombosis (Disorder)	"
NCT03365518	"Prostate Cancer	Sexual Dysfunctions, Psychological	Sexual Dysfunction, Physiological	Sexual Dysfunction Male	Relationships, Marital	Prostatic Neoplasms	"
NCT03364660	"Spinal Cord Injuries	"
NCT03364114	"Barretts Esophagus With Dysplasia	"
NCT03362983	"Diabetes Mellitus	Chronic Kidney Diseases	Cardiovascular Diseases	Chronic Disease	Multimorbidity	"
NCT03359863	"Restrictive Chronic Lung Allograft Dysfunction	Lung Transplant Rejection	"
NCT03357042	"Persistent Post-Concussive Syndrome	"
NCT03356652	"Heart Failure	"
NCT03356210	"Substance Use Disorders	"
NCT03356106	"Sleep Apnea, Obstructive	Pre-Eclampsia	Hypertension, Pregnancy-Induced	"
NCT03355456	"Atrial Fibrillation - Symptomatic	"
NCT03354325	"Bronchiolitis	"
NCT03354286	"Type 1 Diabetes Mellitus	"
NCT03353298	"Renal Transplant Donor of Left Kidney	Renal Transplant Donor of Right Kidney	"
NCT03352947	"Melanoma	"
NCT03350737	"Refractory Angina	Chronic Stable Angina	"
NCT03348761	"Depression	"
NCT03346668	"Scarring Alopecia	Frontal Fibrosing Alopecia	Lichen Planopilaris	Central Centrifugal Cicatricial Alopecia	Central Centrifugal Scarring Alopecia	"
NCT03342976	"Frail Elderly Syndrome	Cognitive Impairment	Physical Dependence	"
NCT03341975	"Sexually Transmitted Diseases	Reproductive Behavior	"
NCT03341520	"Stage II Grade 1 Follicular Lymphoma	Stage II Grade 2 Follicular Lymphoma	Stage I Follicular Lymphoma Grade 1	Stage II Follicular Lymphoma Grade 2	"
NCT03340922	"Ventricular Premature Complexes	Catheter Ablation	"
NCT03337607	"Low Back Pain	"
NCT03337360	"Male Subfertility	"
NCT03336879	"Gambling Disorder	"
NCT03335475	"Cardiovascular Disease Other	Physical Activity	"
NCT03335358	"Stroke	Depression	Depressive Symptoms	Post-stroke Depression	"
NCT03335319	"Cardiovascular Diseases	Coronary Artery Disease	"
NCT03335124	"Sepsis	Septic Shock	Critical Illness	Fluid Overload	"
NCT03334643	"Type2 Diabetes Mellitus	"
NCT03333460	"Cocaine Dependence	Substance Use Disorders	Chemical Addiction	Mental Disorder	Cocaine-Related Disorders	Drug Dependence	"
NCT03333174	"Infant,Premature	"
NCT03333161	"Infant,Premature	"
NCT03326232	"Gestational Diabetes	"
NCT03324451	"Type 2 Diabetes Mellitus	"
NCT03323359	"Hepatectomy	Cancer, Metastatic	Hemostasis	"
NCT03322774	"Insomnia, Primary	Depressive Symptoms	Rumination	"
NCT03322072	"Lung Cancer Stage I	Lung Cancer Stage II	Lung Cancer, Nonsmall Cell	Lung Cancer Recurrent	Lung Cancer Stage IV	"
NCT03320057	"Pregnancy Related	Abortion Early	"
NCT03318874	"Dry Eye Syndromes	Meibomian Gland Dysfunction	"
NCT03314792	"Pain, Postoperative	Pain Uterus	Pain, Acute	Opioid Use	Analgesics, Antipyretics, and Antirheumatics Causing Adverse Effects in Therapeutic Use	Visceral Pain	"
NCT03313492	"Melanoma and Other Malignant Neoplasms of Skin	"
NCT03308851	"Piezocorticision	Osteoperforation	Canine Retraction	Orthodontic Treatment	"
NCT03306992	"Non Small Cell Lung Cancer	Secondary Lung Cancer	"
NCT03304626	"Acute Cellular Graft Rejection	New Onset Diabetes After Transplant	"
NCT03304301	"Aging	Nursing Homes	Depression in Old Age	Cognitive Impairment	Quality of Life	"
NCT03302858	"HSIL, High Grade Squamous Intraepithelial Lesions	Anal Cancer	HPV-Related Squamous Cell Carcinoma	Human Papilloma Virus	Human Papillomavirus Infection	Ain III	"
NCT03302299	"Tuberculosis	HIV/AIDS	Alcohol Abuse	"
NCT03301311	"Inflammatory Bowel Diseases	Crohn Disease	Ulcerative Colitis	Indeterminate Colitis	"
NCT03299816	"Chronic Kidney Disease	Hypertension	"
NCT03299296	"Thromboses, Deep Vein	Surgery--Complications	"
NCT03297658	"Congenital Heart Defect	"
NCT03297346	"Breast Cancer Female	"
NCT03295708	"Major Depressive Disorder	"
NCT03295422	"Chronic Atrial Fibrillation	Persistent Atrial Fibrillation	"
NCT03294395	"Gonorrhea	"
NCT03291951	"Resistance Training	Colon Cancer	Chemotherapy Effect	"
NCT03290833	"Stroke	"
NCT03290560	"Acute Ischemic Stroke	"
NCT03289858	"Hip Fractures	"
NCT03286374	"Obesity, Morbid	Sick-leave	Work Related Illnesses	Life Style	"
NCT03283943	"Ovarian Cancer	Primary Peritoneal Carcinoma	Fallopian Tube Cancer	"
NCT03275571	"HIV Infections	Depression	CBT	"
NCT03269071	"Progressive Multiple Sclerosis	"
NCT03268213	"Clostridium Difficile Infection	Ulcerative Colitis	Indeterminate Colitis	"
NCT03267420	"Hypertension	"
NCT03267238	"Crohn Disease	"
NCT03263780	"Prostate Cancer	"
NCT03263156	"ADHD	Insomnia	"
NCT03256396	"Positive-Pressure Respiration/Methods	Esophagus/Physiopathology	Pleura/Physiopathology	Gynecologic Surgical Procedures	Laparoscopy	Humans	Female	"
NCT03254589	"Rheumatoid Arthritis	Stiffness, Aortic	Endothelial Dysfunction	Cardiovascular Risk Factor	"
NCT03251495	"Cholera	"
NCT03248518	"Rheumatoid Arthritis	Lupus Erythematosus, Systemic	Axial Spondyloarthritis	Psoriatic Arthritis	Sjogren's Syndrome	"
NCT03243539	"Acute Brain Injury	Traumatic Brain Injury	Intracerebral Hemorrhage	Stroke	Cerebral Edema	Anoxic Brain Injury	"
NCT03241511	"Chronic Periodontitis	End Stage Renal Disease	"
NCT03237468	"Concussion, Brain	"
NCT03229538	"Congenital Heart Disease in Children	Inflammatory Response	"
NCT03229486	"Emergence Delirium	"
NCT03227809	"Substance Abuse	Risk Reduction	RIsky Sexual Behavior	"
NCT03227770	"End-stage Renal Disease	"
NCT03212859	"Sedentary Lifestyle	Physical Activity	Frail Elderly Syndrome	"
NCT03205956	"Parkinson's Disease	"
NCT03196193	"Trochanteric Fracture of Femur	"
NCT03193333	"Primary Open-angle Glaucoma	"
NCT03191071	"Lower Resp Tract Infection	"
NCT03168724	"Hiv	"
NCT03167723	"Hemothorax	Hemopneumothorax; Traumatic	Empyema	Chest Tube Size	"
NCT03167307	"Depression	"
NCT03128021	"Major Depressive Disorder	"
NCT03116139	"Acute Kidney Injury	Pulmonary Embolism	Contrast-induced Nephropathy	"
NCT03110744	"Chordoma	"
NCT03100526	"Primary Health Care	Health Care Costs	"
NCT03044613	"Gastric Cancer	Esophageal Cancer	GastroEsophageal Cancer	"
NCT03036345	"Cognitive Dysfunction	"
NCT03026816	"Spinal Cord Injuries	Paraplegia, Complete	"
NCT03007511	"Feeding Tube	Dysphagia	"
NCT02996565	"Hypertension	"
NCT02995733	"Asthma	"
NCT02993432	"Labour; Induced	Pilot Study	Cervical Ripening	"
NCT02990429	"Hypothermia; Anesthesia	"
NCT02978950	"Venous Thromboembolism	Deep Vein Thrombosis	Trauma, Multiple	"
NCT02959697	"Blepharoptosis	Ptosis	"
NCT02957669	"Teen Pregnancy Prevention	"
NCT02957253	"Liver Cirrhosis	"
NCT02940028	"Post-traumatic Growth	"
NCT02874443	"Cesarean Section, Dystocia	"
NCT02871349	"Autism Spectrum Disorder	"
NCT02852213	"AADC Deficiency	"
NCT02845336	"Thyroid Eye Disease	"
NCT02811627	"Autism Spectrum Disorder	"
NCT02808507	"Tuberculosis	"
NCT02690259	"Endometrial Neoplasms	"
